Question,Personality Aspect Number (blank means pruned),Coefficient (C)
You regularly make new friends.,1,-1
Complex and novel ideas excite you more than simple and straightforward ones.,2,1
You usually feel more persuaded by what resonates emotionally with you than by factual arguments.,3,-1
Your living and working spaces are clean and organized.,4,1
"You usually stay calm, even under a lot of pressure.",,
You find the idea of networking or promoting yourself to strangers very daunting.,1,1
"You prioritize and plan tasks effectively, often completing them well before the deadline.",4,1
People’s stories and emotions speak louder to you than numbers or data.,3,-1
You like to use organizing tools like schedules and lists.,4,1
Even a small mistake can cause you to doubt your overall abilities and knowledge.,,
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,1,-1
You are not too interested in discussions about various interpretations of creative works.,2,-1
You prioritize facts over people’s feelings when determining a course of action.,3,1
You often allow the day to unfold without any schedule at all.,4,-1
You rarely worry about whether you make a good impression on people you meet.,,
You enjoy participating in team-based activities.,1,-1
You enjoy experimenting with new and untested approaches.,2,1
You prioritize being sensitive over being completely honest.,3,-1
You actively seek out new experiences and knowledge areas to explore.,2,1
You are prone to worrying that things will take a turn for the worse.,,
You enjoy solitary hobbies or activities more than group ones.,1,1
You cannot imagine yourself writing fictional stories for a living.,2,-1
"You favor efficiency in decisions, even if it means disregarding some emotional aspects.",3,1
You prefer to do your chores before allowing yourself to relax.,4,1
"In disagreements, you prioritize proving your point over preserving the feelings of others.",3,1
You usually wait for others to introduce themselves first at social gatherings.,1,1
Your mood can change very quickly.,,
You are not easily swayed by emotional arguments.,3,1
You often end up doing things at the last possible moment.,4,-1
You enjoy debating ethical dilemmas.,2,1
You usually prefer to be around others rather than on your own.,1,-1
You become bored or lose interest when the discussion gets highly theoretical.,2,-1
"When facts and feelings conflict, you usually find yourself following your heart.",3,-1
You find it challenging to maintain a consistent work or study schedule.,4,-1
You rarely second-guess the choices that you have made.,,
Your friends would describe you as lively and outgoing.,1,-1
"You are drawn to various forms of creative expression, such as writing.",2,1
You usually base your choices on objective facts rather than emotional impressions.,3,1
You like to have a to-do list for each day.,4,1
You rarely feel insecure.,,
You avoid making phone calls.,1,1
You enjoy exploring unfamiliar ideas and viewpoints.,2,1
You can easily connect with people you have just met.,1,-1
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",4,1
You are still bothered by mistakes that you made a long time ago.,,
You are not too interested in discussing theories on what the world could look like in the future.,2,-1
Your emotions control you more than you control them.,3,-1
"When making decisions, you focus more on how the affected people might feel than on what is most logical or efficient.",3,-1
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,4,-1
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",,
You would love a job that requires you to work alone most of the time.,1,1
You believe that pondering abstract philosophical questions is a waste of time.,2,-1
"You feel more drawn to busy, bustling atmospheres than to quiet, intimate places.",1,-1
"If a decision feels right to you, you often act on it without needing further proof.",,
You often feel overwhelmed.,,
You complete things methodically without skipping over any steps.,2,-1
You prefer tasks that require you to come up with creative solutions rather than follow concrete steps.,2,1
You are more likely to rely on emotional intuition than logical reasoning when making a choice.,3,-1
You struggle with deadlines.,4,-1
You feel confident that things will work out for you.,,
,,
